,,,,,,,ATHLETIC PROFILE,,,,,,,,,,,FRESHMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOPHOMORE / RS FRESHMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JUNIOR / RS SOPHMORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SENIOR / RS JUNIOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Profile,,,,,,,,,,,,,,,,,,Rushing Production,,,,,,,,,,,,,,,,,,Receiving Production,,,,,,,,,,,,,,Rushing Production,,,,,,,,,,,,,,,,,,Receiving Production,,,,,,,,,,,,,,Rushing Production,,,,,,,,,,,,,,,,,,Receiving Production,,,,,,,,,,,,,,Rushing Production,,,,,,,,,,,,,,,,,,Receiving Production,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,7,8,9.0,10,11,12.0,13,14.00,15,16.00,17,19,20,21,23,24,25,26,30,31,32,33,34,35,36,37,38,39,40,41,42,43,7,8,9.0,10,11,12.0,13,14.00,15,16.00,17,19,20,21,23,24,25,26,30,31,32,33,34,35,36,37,38,39,40,41,42,43,7,8,9.0,10,11,12.0,13,14.00,15,16.00,17,19,20,21,23,24,25,26,30,31,32,33,34,35,36,37,38,39,40,41,42,43,7,8,9.0,10,11,12.0,13,14.00,15,16.00,17,19,20,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Year,Rank,Player,Draft Year,Round,Pick,Exp,Height,Weight,Arm,Hand,Wing,40 T,10 Splt,Vert,Broad,3 Cone,Shuttle,Attempts,Yards,Y/A,TDs,Fumbles,Run Grade,YCO,YCO/A,MTF,MTF/A,10+,Zone,Gap,15+,BAY,BAY%,1Ds,1D/A,TGT,Rec,Rec %,Rec Yards,Y/REC,TDs,Rec Grade,RECV,YAC,YAC/REC,Y/RR,ADOT,MTF,MTF/REC,Attempts,Yards,Y/A,TDs,Fumbles,Run Grade,YCO,YCO/A,MTF,MTF/A,10+,Zone,Gap,15+,BAY,BAY%,1Ds,1D/A,TGT,Rec,Rec %,Rec Yards,Y/REC,TDs,Rec Grade,RECV,YAC,YAC/REC,Y/RR,ADOT,MTF,MTF/REC,Attempts,Yards,Y/A,TDs,Fumbles,Run Grade,YCO,YCO/A,MTF,MTF/A,10+,Zone,Gap,15+,BAY,BAY%,1Ds,1D/A,TGT,Rec,Rec %,Rec Yards,Y/REC,TDs,Rec Grade,RECV,YAC,YAC/REC,Y/RR,ADOT,MTF,MTF/REC,Attempts,Yards,Y/A,TDs,Fumbles,Run Grade,YCO,YCO/A,MTF,MTF/A,10+,Zone,Gap,15+,BAY,BAY%,1Ds,1D/A,TGT,Rec,Rec %,Rec Yards,Y/REC,TDs,Rec Grade,RECV,YAC,YAC/REC,Y/RR,ADOT,MTF,MTF/REC
2023,8,Derrick Henry,2016,2,45,7,75.00,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,9,Bijan Robinson,2023,1,8,R,71.00,215,31.13,9.75,74.750,4.46,1.54,37.0,,,,77,523,6.8,3,1,71.8,392,5.09,23,0.30,14,64,12,9,290,55.45%,16,0.21,15,13,86.67%,159,12.2,0,65.7,109,171,13.2,1.46,1.1,4,0.31,195,"1,127",5.8,11,3,91.1,769,3.94,79,0.41,27,138,57,15,414,36.73%,52,0.27,31,26,83.87%,293,11.3,4,62.1,216,278,10.7,1.36,1.0,8,0.31,257,"1,575",6.1,18,2,96.1,"1,071",4.17,78,0.30,41,145,112,21,608,38.60%,79,0.31,29,19,65.52%,314,16.5,2,74.0,206,202,10.6,1.52,6.8,8,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,10,Jahmyr Gibbs,2023,1,12,R,69.13,199,30.50,9.25,74.125,4.36,1.51,33.5,,,,89,467,5.2,4,2,81.1,371,4.17,35,0.39,14,46,41,7,199,42.61%,22,0.25,28,23,82.14%,301,13.1,3,90.7,93,244,10.6,3.24,2.0,10,0.43,143,746,5.2,4,2,86.2,470,3.29,34,0.24,19,88,47,11,329,44.10%,28,0.20,43,36,83.72%,470,13.1,2,91.5,155,506,14.1,3.03,-0.2,10,0.28,136,850,6.3,7,0,82.6,451,3.32,35,0.26,23,91,42,14,466,54.82%,33,0.24,50,42,84.00%,378,9.0,3,77.1,236,394,9.4,1.60,1.2,18,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,11,Alvin Kamara,2017,3,67,6,69.75,214,32.75,9.25,78.875,4.56,1.55,39.5,131,7.10,4.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,649,6.8,6,2,84.4,363,3.82,24,0.25,19,27,54,10,279,42.99%,28,0.29,40,32,80.00%,277,8.7,3,91.8,105,345,10.8,2.64,-1.1,12,0.38,96,565,5.9,9,2,79.9,374,3.90,24,0.25,18,71,22,12,284,50.27%,30,0.31,133,0,56.52%,40,33.0,1,344.0,10,4,86.9,139.00,379.0,11,2.47
2023,12,James Cook,2022,2,63,1,71.00,199,30.75,9.38,76.250,4.42,1.54,33.0,,,,41,284,6.9,2,1,71.1,160,3.90,9,0.22,10,36,2,7,187,65.85%,13,0.32,8,7,87.50%,82,11.7,0,85.5,25,112,16.0,3.28,-4.4,2,0.29,23,153,6.7,2,0,65.4,85,3.70,5,0.22,5,15,1,3,70,45.75%,7,0.30,15,15,100.00%,121,8.1,0,73.5,63,157,10.5,1.92,-2.4,4,0.27,45,303,6.7,3,1,85.2,117,2.60,11,0.24,9,27,15,4,105,34.65%,13,0.29,19,16,84.21%,223,13.9,2,65.4,102,193,12.1,2.19,3.5,2,0.13,90,581,6.5,7,0,85.5,343,3.81,22,0.24,16,50,35,8,202,34.77%,31,0.34,93,0,34.48%,19,17.0,1,119.0,7,3,73.8,122.00,121.0,7,0.98
2023,13,Saquon Barkley,2018,1,2,5,72.00,233,31.38,9.50,74.250,4.40,1.54,41.0,,,4.24,165,"1,013",6.1,7,2,84.6,636,3.85,52,0.32,32,77,78,19,527,52.02%,49,0.30,22,15,68.18%,149,9.9,1,67.2,127,153,10.2,1.17,0.4,7,0.47,228,"1,214",5.3,15,2,79.4,701,3.07,61,0.27,36,147,75,21,637,52.47%,63,0.28,30,21,70.00%,327,15.6,2,74.0,201,301,14.3,1.63,5.9,4,0.19,200,"1,135",5.7,16,0,83.0,690,3.45,36,0.18,27,121,71,18,628,55.33%,54,0.27,58,47,81.03%,587,12.5,3,82.7,301,579,12.3,1.95,1.6,12,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,14,Tony Pollard,2019,4,128,4,71.63,210,30.00,9.50,73.750,4.52,1.58,35.0,121,7.00,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,154,5.3,1,0,69.1,102,3.52,7,0.24,8,13,11,1,19,12.34%,10,0.34,35,25,71.43%,217,8.7,1,62.0,166,141,5.6,1.31,5.5,7,0.28,26,151,5.8,1,0,61.5,93,3.58,5,0.19,4,13,10,2,73,48.34%,6,0.23,46,28,60.87%,429,15.3,3,60.2,225,288,10.3,1.91,7.2,6,0.21,56,405,7.2,5,0,82.0,216,3.86,17,0.30,12,29,19,9,190,46.91%,21,0.38,112,0,17.39%,57,37.0,1,452.0,12,3,74.4,218.00,245.0,7,2.07
2023,15,Isiah Pacheco,2022,7,251,1,70.25,216,30.50,9.25,73.875,4.37,1.49,33.0,,,,111,551,5.0,3,2,70.4,303,2.73,10,0.09,12,74,36,4,173,31.40%,22,0.20,3,1,33.33%,7,7.0,0,35.2,23,8,8.0,0.30,0.0,0,0.00,169,729,4.3,7,0,75.3,449,2.66,24,0.14,17,124,40,8,214,29.36%,33,0.20,18,13,72.22%,83,6.4,0,63.9,123,81,6.2,0.67,1.9,2,0.15,116,518,4.5,3,0,67.8,347,2.99,18,0.16,10,34,80,8,228,44.02%,22,0.19,24,19,79.17%,131,6.9,1,70.7,126,134,7.1,1.04,2.6,2,0.11,166,654,3.9,5,1,77.4,476,2.87,12,0.07,15,83,77,8,161,24.62%,46,0.28,24,1,35.71%,19,13.0,1,25.0,2,0,68.4,141.00,71.0,5,0.18
2023,16,Jerome Ford,2022,5,156,1,70.50,210,30.63,9.13,73.250,4.46,1.56,31.0,,,,7,37,5.3,0,0,70.8,20,2.86,4,0.57,2,7,0,1,15,40.54%,2,0.29,0,0,0.00%,0,0.0,0,59.5,1,0,0.0,0.00,0.0,0,0.00,24,113,4.7,3,1,69.8,82,3.42,6,0.25,1,17,7,1,37,32.74%,6,0.25,2,2,100.00%,11,5.5,0,68.8,12,14,7.0,0.92,-1.5,1,0.50,53,329,6.2,6,2,72.7,268,5.06,11,0.21,10,39,13,8,199,60.49%,14,0.26,2,2,100.00%,12,6.0,0,43.2,36,12,6.0,0.33,0.0,0,0.00,181,"1,043",5.8,17,2,88.2,551,3.04,48,0.27,27,96,82,12,400,38.35%,62,0.34,80,1,69.23%,17,17.0,1,192.0,11,1,69.6,185.00,140.0,8,1.04
2023,17,David Montgomery,2019,3,73,4,70.13,222,31.38,9.25,75.500,4.63,1.61,28.5,121,7.12,4.23,110,563,5.1,2,1,66.0,404,3.67,22,0.20,17,49,58,6,172,30.55%,28,0.25,16,12,75.00%,124,10.3,0,58.7,113,136,11.3,1.10,0.1,7,0.58,234,"1,094",4.7,11,0,89.9,828,3.54,80,0.34,32,141,92,14,335,30.62%,57,0.24,44,35,79.55%,288,8.2,0,80.8,259,318,9.1,1.11,0.0,23,0.66,230,"1,092",4.7,12,0,91.2,806,3.50,94,0.41,36,162,67,17,361,33.06%,70,0.30,21,18,85.71%,102,5.7,0,62.5,169,120,6.7,0.60,-0.1,2,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
